City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,10.06,62,75,6.69,CL,1673710175
1,sinnamary,5.3833,-52.95,25.61,86,96,5.07,GF,1673710459
2,lorengau,-2.0226,147.2712,27.63,78,100,3.88,PG,1673710460
3,swansea,51.6208,-3.9432,7.93,75,100,3.13,GB,1673710460
4,bluff,-46.6,168.3333,11.22,82,9,2.23,NZ,1673710461
5,atuona,-9.8,-139.0333,25.39,75,97,4.44,PF,1673710461
6,westport,41.1415,-73.3579,1.52,73,100,7.2,US,1673710308
7,ushuaia,-54.8,-68.3,9.81,57,75,5.14,AR,1673710314
8,bereznik,62.8551,42.7072,-2.23,95,100,3.88,RU,1673710462
9,touros,-5.1989,-35.4608,30.15,57,72,7.52,BR,1673710463
10,buala,-8.145,159.5921,24.1,91,100,1.41,SB,1673710464
11,ribeira grande,38.5167,-28.7,14.22,67,40,10.29,PT,1673710464
12,bredasdorp,-34.5322,20.0403,22.12,62,59,6.05,ZA,1673710465
13,tongchuan,35.0806,109.0897,-5.0,55,100,2.25,CN,1673710465
14,saskylakh,71.9167,114.0833,-37.22,99,100,0.86,RU,1673710466
15,rikitea,-23.1203,-134.9692,25.28,75,8,5.26,PF,1673710466
16,wasilla,61.5814,-149.4394,-1.5,76,0,2.57,US,1673710333
17,isangel,-19.55,169.2667,25.48,80,24,4.92,VU,1673710450
18,faya,18.3851,42.4509,15.06,76,96,2.86,SA,1673710467
19,ostrovnoy,68.0531,39.5131,1.07,88,100,8.65,RU,1673710468
20,kodiak,57.79,-152.4072,3.73,93,100,8.23,US,1673710405
21,cape town,-33.9258,18.4232,24.5,56,0,13.38,ZA,1673710351
22,busselton,-33.65,115.3333,16.83,52,2,7.62,AU,1673710468
23,coahuayana,18.7333,-103.6833,28.71,35,3,1.1,MX,1673710469
24,jamestown,42.097,-79.2353,-6.66,97,100,4.63,US,1673710469
25,mataura,-46.1927,168.8643,8.82,99,17,1.06,NZ,1673710470
26,saint-philippe,-21.3585,55.7679,26.77,76,41,4.72,RE,1673710470
27,hasaki,35.7333,140.8333,8.22,78,99,10.58,JP,1673710471
28,georgetown,5.4112,100.3354,27.96,92,20,1.54,MY,1673710471
29,san andres,12.5847,-81.7006,29.01,65,20,6.69,CO,1673710472
30,tasiilaq,65.6145,-37.6368,-9.91,55,100,8.87,GL,1673710472
31,castro,-24.7911,-50.0119,20.89,86,99,2.7,BR,1673710472
32,bridgewater,44.3835,-64.5155,12.84,97,100,10.29,CA,1673710232
33,barrow,71.2906,-156.7887,-19.99,84,100,8.75,US,1673710473
34,albany,42.6001,-73.9662,-2.21,78,66,1.34,US,1673710387
35,coquimbo,-29.9533,-71.3436,19.85,68,20,4.63,CL,1673710473
36,salalah,17.0151,54.0924,25.05,69,75,4.12,OM,1673710474
37,new norfolk,-42.7826,147.0587,20.72,64,35,0.45,AU,1673710474
38,hobart,-42.8794,147.3294,20.92,73,60,4.63,AU,1673710206
39,hwange,-18.3693,26.5019,28.81,47,74,2.3,ZW,1673710475
40,talnakh,69.4865,88.3972,-38.45,86,61,1.8,RU,1673710475
41,corumba,-19.0092,-57.6533,21.95,94,100,3.6,BR,1673710475
42,ambulu,-8.345,113.6058,24.78,89,100,0.95,ID,1673710476
43,lerwick,60.1545,-1.1494,5.0,85,100,13.71,GB,1673710476
44,codrington,-38.2667,141.9667,15.56,77,85,7.58,AU,1673710476
45,cidreira,-30.1811,-50.2056,26.84,64,74,5.86,BR,1673710477
46,qaanaaq,77.484,-69.3632,-16.42,68,100,3.69,GL,1673710477
47,shimoda,34.6667,138.95,12.84,86,95,4.26,JP,1673710478
48,adre,13.4667,22.2,25.38,18,4,2.37,TD,1673710478
49,ahome,25.9167,-109.1833,12.97,44,0,0.91,MX,1673710478
50,pafos,34.7667,32.4167,15.88,59,75,1.03,CY,1673710479
51,rohru,31.2167,77.75,3.85,68,10,1.92,IN,1673710479
52,huarmey,-10.0681,-78.1522,22.99,72,69,3.62,PE,1673710479
53,lebu,-37.6167,-73.65,16.12,66,100,7.14,CL,1673710479
54,suntar,62.1444,117.6319,-53.5,100,96,1.47,RU,1673710480
55,acajutla,13.5928,-89.8275,29.46,45,7,4.57,SV,1673710480
56,vila velha,-20.3297,-40.2925,29.97,76,40,7.2,BR,1673710480
57,brufut,13.3814,-16.7518,35.05,79,0,3.6,GM,1673710481
58,vaini,-21.2,-175.2,25.09,100,20,0.51,TO,1673710481
59,rawson,-43.3002,-65.1023,21.27,47,25,10.48,AR,1673710263
60,amazar,53.858,120.875,-28.59,98,100,0.65,RU,1673710482
61,savannah bight,16.45,-85.85,24.25,67,100,10.45,HN,1673710482
62,port alfred,-33.5906,26.891,22.32,88,100,0.45,ZA,1673710483
63,gambela,8.25,34.5833,30.35,34,4,1.64,ET,1673710483
64,sitka,57.0531,-135.33,5.94,81,100,2.57,US,1673710393
65,plettenberg bay,-34.0527,23.3716,21.9,65,61,2.56,ZA,1673710483
66,pevek,69.7008,170.3133,-31.33,98,16,0.96,RU,1673710484
67,mahebourg,-20.4081,57.7,27.16,69,75,4.63,MU,1673710484
68,chokurdakh,70.6333,147.9167,-32.72,97,100,1.81,RU,1673710485
69,humberto de campos,-2.5983,-43.4611,31.48,53,82,3.86,BR,1673710485
70,lundazi,-12.2929,33.1782,20.44,85,96,0.88,ZM,1673710485
71,saldanha,-33.0117,17.9442,25.03,77,19,12.77,ZA,1673710486
72,namibe,-15.1961,12.1522,25.51,70,18,6.27,AO,1673710486
73,east london,-33.0153,27.9116,23.52,78,100,2.57,ZA,1673710486
74,klaksvik,62.2266,-6.589,0.51,94,100,15.65,FO,1673710487
75,isla vista,34.4133,-119.861,15.0,90,100,1.54,US,1673710487
76,maraba,-5.3686,-49.1178,30.1,84,40,0.0,BR,1673710487
77,puerto ayora,-0.7393,-90.3518,25.98,95,42,2.24,EC,1673710488
78,broken hill,-31.95,141.4333,26.32,40,94,7.54,AU,1673710488
79,avarua,-21.2078,-159.775,19.03,100,20,0.51,CK,1673710489
80,provideniya,64.3833,-173.3,-17.0,95,80,5.46,RU,1673710489
81,griffith,41.5284,-87.4237,-2.19,76,100,4.63,US,1673710489
82,port elizabeth,-33.918,25.5701,24.16,77,75,4.63,ZA,1673710490
83,bengkulu,-3.8004,102.2655,24.76,85,91,1.48,ID,1673710490
84,sambava,-14.2667,50.1667,25.7,79,98,3.7,MG,1673710321
85,yar-sale,66.8333,70.8333,-26.74,100,73,2.36,RU,1673710491
86,upernavik,72.7868,-56.1549,-16.96,65,100,2.09,GL,1673710491
87,khatanga,71.9667,102.5,-46.27,100,96,1.13,RU,1673710491
88,yellowknife,62.456,-114.3525,-20.25,84,100,5.66,CA,1673710232
89,avera,33.194,-82.5271,5.86,49,0,4.59,US,1673710492
90,butaritari,3.0707,172.7902,26.77,79,100,5.26,KI,1673710492
91,carballo,43.213,-8.691,16.04,89,100,6.81,ES,1673710493
92,santa clara,22.4,-79.9667,21.81,60,40,5.66,CU,1673710493
93,ponta do sol,32.6667,-17.1,18.73,70,26,1.35,PT,1673710493
94,kapaa,22.0752,-159.319,18.99,82,0,2.57,US,1673710494
95,moron,-34.6534,-58.6198,33.34,23,0,0.9,AR,1673710494
96,arraial do cabo,-22.9661,-42.0278,31.98,70,0,6.17,BR,1673710495
97,geraldton,-28.7667,114.6,22.23,78,0,6.69,AU,1673710474
98,hermanus,-34.4187,19.2345,24.89,68,9,7.1,ZA,1673710495
99,amot,59.5714,7.9877,-1.24,96,100,1.68,NO,1673710496
100,rantepao,-2.9701,119.8978,19.66,95,100,1.31,ID,1673710496
101,thompson,55.7435,-97.8558,-23.91,77,75,2.57,CA,1673710232
102,hithadhoo,-0.6,73.0833,27.03,66,37,5.78,MV,1673710496
103,chuy,-33.6971,-53.4616,27.84,32,8,4.69,UY,1673710497
104,shahreza,32.0339,51.8794,-1.29,78,81,1.29,IR,1673710497
105,cabo san lucas,22.8909,-109.9124,21.4,60,0,1.54,MX,1673710363
106,kamalpur,24.2,91.8333,17.81,54,22,0.95,IN,1673710497
107,adelaide,-34.9333,138.6,18.42,65,75,5.14,AU,1673710447
108,dikson,73.5069,80.5464,-36.93,93,17,1.93,RU,1673710498
109,hilo,19.7297,-155.09,20.69,76,100,4.63,US,1673710233
110,kholodnyy,62.7167,147.95,-38.8,99,96,1.91,RU,1673710498
111,puerto escondido,15.85,-97.0667,25.46,83,0,3.09,MX,1673710499
112,airai,-8.9266,125.4092,16.23,86,100,0.68,TL,1673710499
113,port blair,11.6667,92.75,25.02,73,20,1.03,IN,1673710500
114,tuktoyaktuk,69.4541,-133.0374,-20.0,77,100,1.03,CA,1673710500
115,sidhauli,27.2833,80.8333,14.74,74,0,3.87,IN,1673710500
116,souillac,-20.5167,57.5167,27.21,69,75,4.63,MU,1673710501
117,bethel,41.3712,-73.414,0.84,74,100,6.69,US,1673710501
118,luderitz,-26.6481,15.1594,23.03,62,0,12.16,NA,1673710502
119,yerbogachen,61.2767,108.0108,-50.77,100,72,0.29,RU,1673710502
120,lavrentiya,65.5833,-171.0,-20.72,90,78,4.37,RU,1673710503
121,ekhabi,53.5102,142.9671,-30.23,81,6,6.0,RU,1673710503
122,chimbote,-9.0853,-78.5783,23.39,67,58,3.41,PE,1673710504
123,ambilobe,-13.2,49.05,23.89,91,91,0.97,MG,1673710504
124,atasu,48.6814,71.6433,-19.85,94,72,3.74,KZ,1673710504
125,beceni,45.3833,26.7833,4.23,83,100,1.21,RO,1673710505
126,nyurba,63.2842,118.3319,-59.16,100,82,0.35,RU,1673710506
127,nikolskoye,59.7035,30.7861,1.94,96,100,5.01,RU,1673710506
128,warmbad,-28.45,18.7333,40.8,7,0,5.24,NA,1673710507
129,monterey,36.2505,-121.2516,12.32,1,100,5.0,US,1673710507
130,horadiz,39.4488,47.3353,0.43,83,60,0.61,AZ,1673710507
131,quatre cocos,-20.2078,57.7625,27.06,72,95,5.36,MU,1673710508
132,bridlington,54.0831,-0.1919,7.16,72,94,12.69,GB,1673710508
133,boguchany,58.3814,97.4531,-15.24,97,100,1.7,RU,1673710509
134,kaset sombun,16.2805,101.9542,23.51,47,9,1.89,TH,1673710509
135,katsuura,35.1333,140.3,13.55,77,99,5.41,JP,1673710510
136,makarov,48.6333,142.8,-20.46,87,15,2.69,RU,1673710510
137,bac lieu,9.285,105.7244,25.27,88,42,2.24,VN,1673710510
138,shu,43.5983,73.7614,-19.74,93,5,2.4,KZ,1673710511
139,carnarvon,-24.8667,113.6333,24.25,78,0,11.08,AU,1673710511
140,venice,27.0998,-82.4543,12.93,62,75,3.58,US,1673710383
141,kaitangata,-46.2817,169.8464,10.08,95,39,1.46,NZ,1673710512
142,dunedin,-45.8742,170.5036,14.89,81,30,2.24,NZ,1673710512
143,voyvozh,62.892,54.9635,-4.19,94,100,4.31,RU,1673710513
144,hurghada,27.2574,33.8129,18.12,48,1,6.76,EG,1673710249
145,paamiut,61.994,-49.6678,-7.02,87,94,2.9,GL,1673710514
146,norman wells,65.282,-126.8329,-26.98,76,75,1.03,CA,1673710514
147,tiksi,71.6872,128.8694,-37.96,97,96,1.88,RU,1673710514
148,pangnirtung,66.1451,-65.7125,-28.0,76,100,2.06,CA,1673710515
149,odweyne,9.4092,45.064,22.76,47,9,3.87,SO,1673710515
150,beysehir,37.6773,31.7246,4.64,56,61,0.74,TR,1673710516
151,aksu,41.1231,80.2644,-11.82,92,100,2.02,CN,1673710516
152,kasungu,-13.0333,33.4833,21.15,88,100,1.32,MW,1673710516
153,birao,10.2849,22.7882,30.1,16,5,2.66,CF,1673710517
154,kununurra,-15.7667,128.7333,24.99,88,40,2.06,AU,1673710517
155,ushtobe,45.2514,77.9838,-19.84,89,1,2.25,KZ,1673710518
156,sioux lookout,50.1001,-91.917,-5.96,79,100,2.57,CA,1673710519
157,mavelikara,9.2667,76.55,24.99,83,7,0.67,IN,1673710519
158,francistown,-21.17,27.5079,30.65,30,74,5.62,BW,1673710519
159,vanimo,-2.6741,141.3028,25.96,85,96,0.74,PG,1673710237
160,san patricio,28.017,-97.5169,16.92,45,1,2.76,US,1673710520
161,zlotow,53.3635,17.0408,5.64,80,100,6.89,PL,1673710520
162,victoria,22.2855,114.1577,23.3,93,26,1.34,HK,1673710521
163,atar,20.5169,-13.0499,28.65,10,0,7.17,MR,1673710248
164,portland,45.5234,-122.6762,10.19,91,75,4.02,US,1673710362
165,haines junction,60.7522,-137.5108,-17.34,100,100,0.74,CA,1673710408
166,vallenar,-28.5708,-70.7581,28.1,34,0,3.99,CL,1673710521
167,ahipara,-35.1667,173.1667,14.69,92,7,2.08,NZ,1673710522
168,mar del plata,-38.0023,-57.5575,29.35,70,0,4.12,AR,1673710301
169,hambantota,6.1241,81.1185,26.19,94,20,1.54,LK,1673710522
170,pisco,-13.7,-76.2167,21.68,83,0,4.12,PE,1673710523
171,sao filipe,14.8961,-24.4956,24.44,61,1,3.3,CV,1673710523
172,ewo,-0.8725,14.8206,31.6,42,81,1.27,CG,1673710524
173,povenets,62.8487,34.8262,0.28,99,100,4.44,RU,1673710524
174,nantucket,41.2835,-70.0995,4.52,93,100,9.26,US,1673710368
175,necochea,-38.5473,-58.7368,25.89,35,0,4.7,AR,1673710421
176,namatanai,-3.6667,152.4333,26.27,81,97,1.06,PG,1673710525
177,tongren,27.7172,109.1853,2.33,91,100,4.9,CN,1673710525
178,evensk,61.95,159.2333,-12.17,67,100,9.62,RU,1673710526
179,vostok,46.4856,135.8833,-32.86,98,60,1.85,RU,1673710526
180,lahaina,20.8783,-156.6825,20.45,81,6,1.51,US,1673710527
181,oron,4.8256,8.2343,30.98,52,44,4.49,NG,1673710527
182,bourges,47.25,2.4167,12.77,79,100,9.77,FR,1673710527
183,saint george,37.1041,-113.5841,4.33,81,0,0.0,US,1673710528
184,oranjemund,-28.55,16.4333,19.13,78,4,11.15,NA,1673710528
185,myaundzha,63.0494,147.1858,-35.88,99,98,1.39,RU,1673710529
186,mount gambier,-37.8333,140.7667,15.46,62,99,5.84,AU,1673710327
187,nouakchott,18.0858,-15.9785,31.96,20,67,6.26,MR,1673710529
188,teguise,29.0605,-13.564,19.12,73,20,7.2,ES,1673710530
189,sarangani,5.4033,125.4636,27.2,81,100,5.38,PH,1673710370
190,aklavik,68.2191,-135.0107,-22.0,77,100,1.54,CA,1673710531
191,wakkanai,45.4094,141.6739,-8.01,61,100,6.71,JP,1673710531
192,show low,34.2542,-110.0298,9.49,37,55,0.89,US,1673710531
193,kamaishi,39.2667,141.8833,5.61,91,100,4.34,JP,1673710532
194,cherskiy,68.75,161.3,-37.46,98,100,0.63,RU,1673710532
195,chor,25.5167,69.7667,14.47,14,0,4.93,PK,1673710533
196,kenai,60.5544,-151.2583,-3.81,87,75,1.54,US,1673710533
197,raga,8.4596,25.678,27.76,21,0,1.94,SS,1673710533
198,lompoc,34.6391,-120.4579,14.18,96,100,3.09,US,1673710534
199,dingle,10.9995,122.6711,23.48,95,100,1.91,PH,1673710534
200,asau,46.4333,26.4,-0.4,93,68,0.62,RO,1673710535
201,aasiaat,68.7098,-52.8699,-19.43,79,100,4.23,GL,1673710535
202,dali,25.7,100.1833,5.54,68,0,2.33,CN,1673710535
203,springbok,-29.6643,17.8865,30.88,21,1,7.33,ZA,1673710536
204,ajuchitlan,20.7167,-100.0167,4.66,35,0,1.43,MX,1673710536
205,liverpool,53.4106,-2.9779,7.1,76,40,11.83,GB,1673710537
